Time resolution is 1 ps
Time	c_in	a		b		sum		c_out		pass_fail
635000	0	0111		1110		0101		1		1
640000	0	0111		1111		0110		1		1
645000	0	1000		0000		1000		0		1
650000	0	1000		0001		1001		0		1
655000	0	1000		0010		1010		0		1
660000	0	1000		0011		1011		0		1
665000	0	1000		0100		1100		0		1
670000	0	1000		0101		1101		0		1
675000	0	1000		0110		1110		0		1
680000	0	1000		0111		1111		0		1
685000	0	1000		1000		0000		1		1
690000	0	1000		1001		0001		1		1
695000	0	1000		1010		0010		1		1
700000	0	1000		1011		0011		1		1
705000	0	1000		1100		0100		1		1
710000	0	1000		1101		0101		1		1
715000	0	1000		1110		0110		1		1
720000	0	1000		1111		0111		1		1
725000	0	1001		0000		1001		0		1
730000	0	1001		0001		1010		0		1
735000	0	1001		0010		1011		0		1
740000	0	1001		0011		1100		0		1
745000	0	1001		0100		1101		0		1
750000	0	1001		0101		1110		0		1
755000	0	1001		0110		1111		0		1
760000	0	1001		0111		0000		1		1
765000	0	1001		1000		0001		1		1
770000	0	1001		1001		0010		1		1
775000	0	1001		1010		0011		1		1
780000	0	1001		1011		0100		1		1
785000	0	1001		1100		0101		1		1
790000	0	1001		1101		0110		1		1
795000	0	1001		1110		0111		1		1
800000	0	1001		1111		1000		1		1
805000	0	1010		0000		1010		0		1
810000	0	1010		0001		1011		0		1
815000	0	1010		0010		1100		0		1
820000	0	1010		0011		1101		0		1
825000	0	1010		0100		1110		0		1
830000	0	1010		0101		1111		0		1
835000	0	1010		0110		0000		1		1
840000	0	1010		0111		0001		1		1
845000	0	1010		1000		0010		1		1
850000	0	1010		1001		0011		1		1
855000	0	1010		1010		0100		1		1
860000	0	1010		1011		0101		1		1
865000	0	1010		1100		0110		1		1
870000	0	1010		1101		0111		1		1
875000	0	1010		1110		1000		1		1
880000	0	1010		1111		1001		1		1
885000	0	1011		0000		1011		0		1
890000	0	1011		0001		1100		0		1
895000	0	1011		0010		1101		0		1
900000	0	1011		0011		1110		0		1
905000	0	1011		0100		1111		0		1
910000	0	1011		0101		0000		1		1
915000	0	1011		0110		0001		1		1
920000	0	1011		0111		0010		1		1
925000	0	1011		1000		0011		1		1
930000	0	1011		1001		0100		1		1
935000	0	1011		1010		0101		1		1
940000	0	1011		1011		0110		1		1
945000	0	1011		1100		0111		1		1
950000	0	1011		1101		1000		1		1
955000	0	1011		1110		1001		1		1
960000	0	1011		1111		1010		1		1
965000	0	1100		0000		1100		0		1
970000	0	1100		0001		1101		0		1
975000	0	1100		0010		1110		0		1
980000	0	1100		0011		1111		0		1
985000	0	1100		0100		0000		1		1
990000	0	1100		0101		0001		1		1
995000	0	1100		0110		0010		1		1
1000000	0	1100		0111		0011		1		1
